location;new_cases_smoothed;new_deaths_smoothed;reproduction_rate;positive_rate;people_fully_vaccinated_per_hundred;stringency_index
Singapore;54.857;0.0;0.78;;;56.48
Singapore;58.571;0.0;0.72;;;56.48
Singapore;56.714;0.0;0.67;;;56.48
Singapore;49.714;0.0;0.63;;;56.48
Singapore;43.286;0.0;0.61;;;56.48
Singapore;32.571;0.0;0.61;;;56.48
Singapore;28.714;0.0;0.62;;;56.48
Singapore;24.286;0.0;0.64;;;56.48
Singapore;21.714;0.0;0.63;;;56.48
Singapore;19.857;0.0;0.62;;;56.48
Singapore;17.857;0.0;0.63;;;56.48
Singapore;17.429;0.0;0.65;;;56.48
Singapore;17.429;0.0;0.68;;;56.48
Singapore;18.143;0.0;0.7;;;56.48
Singapore;17.714;0.0;0.71;;;56.48
Singapore;15.571;0.0;0.73;;;56.48
Singapore;16.429;0.0;0.72;;;56.48
Singapore;18.0;0.0;0.7;;;50.93
Singapore;18.571;0.0;0.66;;;50.93
Singapore;18.429;0.0;0.65;;;50.93
Singapore;16.429;0.0;0.64;;;50.93
Singapore;16.0;0.0;0.64;;;50.93
Singapore;14.857;0.0;0.63;;;50.93
Singapore;12.571;0.0;0.63;;;50.93
Singapore;10.714;0.0;0.64;;;50.93
Singapore;9.286;0.0;0.64;;;50.93
Singapore;9.286;0.0;0.64;;;50.93
Singapore;9.429;0.0;0.64;;;50.93
Singapore;9.143;0.0;0.63;;;50.93
Singapore;8.714;0.143;0.63;;;50.93
Singapore;7.714;0.143;0.64;;;50.93
Singapore;7.0;0.143;0.68;;;50.93
Singapore;6.143;0.143;0.73;;;50.93
Singapore;6.0;0.143;0.76;;;50.93
Singapore;5.429;0.143;0.81;;;50.93
Singapore;5.0;0.143;0.85;;;50.93
Singapore;5.0;0.0;0.9;;;50.93
Singapore;5.286;0.0;0.96;;;50.93
Singapore;6.286;0.0;0.98;;;50.93
Singapore;7.0;0.0;1.0;;;50.93
Singapore;7.143;0.0;1.0;;;50.93
Singapore;8.714;0.0;0.96;;;50.93
Singapore;8.429;0.0;0.94;;;50.93
Singapore;8.286;0.0;0.93;;;50.93
Singapore;8.429;0.0;0.94;;;50.93
Singapore;7.714;0.0;0.96;;;50.93
Singapore;7.571;0.0;0.97;;;50.93
Singapore;7.429;0.0;0.97;;;50.93
Singapore;7.143;0.0;0.94;;;50.93
Singapore;7.0;0.0;0.93;;;50.93
Singapore;6.714;0.0;0.94;;;50.93
Singapore;7.0;0.0;0.95;;;50.93
Singapore;7.0;0.0;0.96;;;50.93
Singapore;7.0;0.0;0.97;;;50.93
Singapore;6.286;0.0;1.0;;;50.93
Singapore;5.571;0.0;1.03;;;50.93
Singapore;5.286;0.0;1.09;;;50.93
Singapore;6.286;0.0;1.12;;;50.93
Singapore;6.286;0.0;1.16;;;50.93
Singapore;7.857;0.0;1.11;;;50.93
Singapore;8.429;0.0;1.05;;;50.93
Singapore;9.571;0.0;0.98;;;50.93
Singapore;8.857;0.0;0.94;;;50.93
Singapore;9.0;0.0;0.92;;;50.93
Singapore;8.571;0.0;0.91;;;50.93
Singapore;8.143;0.0;0.92;;;50.93
Singapore;6.286;0.0;0.94;;;50.93
Singapore;5.286;0.0;0.98;;;50.93
Singapore;4.143;0.0;1.04;;;50.93
Singapore;4.571;0.0;1.11;;;50.93
